Orden,DNI,Apellido_Paterno,Apellido_Materno,Nombres,Edad,Direccion,Celular,Correo,Ingreso_Anual,Genero,Estado_Civil,Nivel_Educativo,Ocupacion,Fecha_Nacimiento,Nacionalidad,Provincia,Distrito,Centro_Medico,Tipo_Seguro,Fecha_Registro,Historial_Medico,Medicamentos_Recetados,Citas_Anuales,Peso,Altura,IMC,Presion_Arterial,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Temperatura,Grupo_Sanguineo,Factor_RH,Alergias,Cirugias,Vacunas_Al_Dia,Pruebas_Laboratorio,Ultima_Visita,Dias_Hospitalizacion,Horas_Ejercicio_Semanal,Consumo_Alcohol,Tabaquismo,Dieta_Saludable,Nivel_Estres,Nivel_Satisfaccion,Costo_Citas_Anuales,Costo_Tratamiento,Costo_Medicamentos,Satisfaccion_Servicio
120,40229402,Baker,Johnson,Sarah,77,"333 Julia Crossroad Suite 641
Juliastad, MT 08502",+51 954446182,rphelps@example.net,12636,Femenino,Divorciado,Técnico,Seismic interpreter,1966-08-17,Saudi Arabia,Kentucky,North Eric,Clínica Salud,Mixto,2022-09-15,Hipertensión,0,10,50.3,1.6,32.1,96/65,96,12,37.4,O,-,Medicamentos,3,No,2,2024-08-23,0,4,Ocasional,Sí,Sí,9,7,1267,6921,1044,5
121,85793779,Lopez,Thompson,Michael,58,"06488 Kayla Fort Suite 930
South Christophershire, WA 38268",+51 913704481,jennifer49@example.com,21481,Masculino,Divorciado,Primaria,Operational researcher,1961-03-06,Croatia,South Dakota,Melanieburgh,Centro Médico Familiar,Público,2023-05-10,Hipertensión,2,6,99.2,1.52,26.6,112/72,68,16,36.7,A,+,Medicamentos,3,No,4,2024-11-12,6,6,Ninguno,Sí,Sí,1,10,960,2599,1138,3
122,35316119,Reynolds,Lewis,Daniel,62,"334 Potts Cove Apt. 620
East Cassie, OH 83638",+51 925480907,agarcia@example.org,40834,Masculino,Viudo,Primaria,Geophysical data processor,1973-04-15,Korea,Florida,East Elizabeth,Clínica Salud,Público,2020-03-30,Hipertensión,1,8,60.7,1.69,21.9,117/66,73,16,36.7,AB,-,Alimentos,2,Sí,3,2024-02-06,11,0,Ninguno,No,No,10,1,249,5731,540,5
123,73778204,Robertson,Russell,Sara,53,"46870 Steven Lock Apt. 290
Millerburgh, ND 94064",+51 945059710,jamiejohnston@example.net,44010,Femenino,Soltero,Universitario,"Accountant, chartered certified",1981-05-16,Georgia,Rhode Island,Port John,Centro Médico Familiar,Privado,2023-02-14,Hipertensión,1,10,65.7,1.93,37.4,122/67,63,15,37.3,A,-,Ninguna,2,Sí,4,2024-04-17,14,5,Ninguno,No,No,5,7,1118,6070,1982,4
124,51215133,Daniels,Craig,Brandy,32,"8426 Brandon Course Suite 468
West Stacy, MD 31327",+51 933966966,lindahuber@example.net,38981,Femenino,Soltero,Secundaria,Scientific laboratory technician,1998-04-21,Saudi Arabia,Minnesota,New Christianland,Centro Médico Familiar,Público,2021-01-07,Diabetes,5,5,88.6,1.56,20.2,116/63,78,14,37.1,AB,-,Alimentos,3,No,10,2024-09-24,2,6,Frecuente,No,Sí,5,2,1026,9885,4470,5
125,82714419,Sanchez,Price,Stuart,61,"5262 Edwards Camp
West Katherinemouth, WY 56157",+51 987925434,odonnellnoah@example.com,28229,Femenino,Divorciado,Primaria,"Conservation officer, nature",1979-10-02,Nepal,Massachusetts,West Williamberg,Centro Médico Familiar,Privado,2020-11-19,Hipertensión,5,8,97.2,1.66,18.7,138/70,80,19,36.5,A,+,Polen,1,No,7,2024-10-13,7,8,Frecuente,Sí,Sí,9,9,884,9989,1027,2
126,47459397,Norton,Love,Rachel,38,"27606 Hall Bridge
Swansonchester, WA 68692",+51 945630292,daniel12@example.org,21894,Masculino,Casado,Técnico,Hydrogeologist,1988-01-20,Hungary,Pennsylvania,Sherribury,Clínica Salud,Privado,2024-11-24,Diabetes,5,3,91.1,1.52,38.4,97/74,63,12,38.5,B,+,Polen,0,No,7,2024-03-19,9,10,Ninguno,No,Sí,6,2,1835,2123,4688,2
127,58730289,Richards,Patrick,Yvonne,71,"66796 Lewis Ridges
South Nathan, NE 04666",+51 915134794,parkerwilliam@example.net,48360,Masculino,Viudo,Universitario,Sales promotion account executive,1978-05-23,American Samoa,Idaho,Nancyside,Clínica Salud,Mixto,2022-11-01,Cardiopatía,3,9,96.0,1.92,33.7,97/76,64,13,36.8,O,+,Ninguna,2,Sí,10,2024-05-28,6,10,Ninguno,Sí,Sí,9,3,1455,2248,4026,3
128,87796568,Franklin,Marshall,John,67,"Unit 4138 Box 3334
DPO AA 71505",+51 924549543,bjacobs@example.com,38566,Femenino,Viudo,Técnico,"Solicitor, Scotland",2004-04-16,Saint Lucia,Ohio,East James,Centro Médico Familiar,Privado,2024-06-07,Diabetes,2,5,75.6,1.94,31.3,98/75,95,20,36.3,O,+,Polen,2,No,6,2024-05-20,4,7,Frecuente,No,Sí,7,1,1142,3548,3332,5
129,64122398,Holland,Jordan,Lisa,67,"397 Joan Cove
Lake Johnnyfort, AZ 58483",+51 990070438,davismichael@example.com,42225,Femenino,Divorciado,Primaria,Mudlogger,1954-11-18,Macao,Texas,Lake Colleenton,Clínica Salud,Público,2024-09-12,Ninguno,2,7,78.5,1.67,24.6,138/71,98,17,38.3,A,+,Alimentos,0,Sí,9,2024-05-15,9,6,Ocasional,No,Sí,3,6,910,2989,4856,1
130,55120562,Smith,Patterson,Kristin,21,"9405 Michelle Orchard Apt. 770
South Lauramouth, FL 41657",+51 968326160,mary71@example.com,15979,Masculino,Viudo,Técnico,Chief Technology Officer,1965-08-11,American Samoa,Arkansas,Port Christopherstad,Hospital Central,Público,2023-02-20,Cardiopatía,1,4,78.6,1.94,33.4,135/69,84,13,36.9,A,+,Ninguna,2,Sí,5,2024-03-27,1,1,Ninguno,No,Sí,4,5,1473,1054,1207,3
131,31725189,Mills,Giles,Dana,32,"329 Martinez Villages
Millerland, CO 06821",+51 956397338,dandrews@example.org,40802,Masculino,Soltero,Universitario,Research scientist (maths),1991-06-26,Marshall Islands,North Dakota,North Craigville,Centro Médico Familiar,Privado,2021-03-08,Diabetes,5,10,54.7,1.55,35.5,125/83,65,12,37.6,A,-,Ninguna,1,Sí,8,2024-01-27,12,1,Ocasional,No,No,10,7,868,4924,532,1
132,49743617,Carter,Werner,Chad,70,"2349 Michael Islands Apt. 307
Jayville, IA 31321",+51 952101056,markbutler@example.com,32803,Femenino,Divorciado,Universitario,Barrister's clerk,1971-01-14,Hungary,Pennsylvania,Lake Danamouth,Centro Médico Familiar,Mixto,2021-11-27,Diabetes,5,3,73.0,1.88,28.7,92/62,85,18,36.7,AB,+,Polen,1,No,7,2024-12-03,9,2,Ocasional,No,Sí,5,5,783,2081,4343,5
133,94501479,Mahoney,Juarez,Mark,20,"PSC 8032, Box 2951
APO AE 51552",+51 968571795,stephanie37@example.org,36761,Masculino,Soltero,Secundaria,Hospital pharmacist,2001-04-15,Monaco,Virginia,West Kathrynberg,Centro Médico Familiar,Privado,2022-02-14,Diabetes,2,1,57.8,1.87,21.2,110/75,76,19,36.1,A,+,Medicamentos,0,Sí,4,2024-04-22,5,4,Ninguno,No,No,6,8,953,5424,1572,3
134,79606814,Young,Fleming,Jennifer,69,"47704 Nicholas Views Suite 521
New Brianna, MH 53958",+51 991363974,nthomas@example.com,31843,Femenino,Casado,Técnico,Marketing executive,1949-08-29,Samoa,North Carolina,South Thomasfurt,Centro Médico Familiar,Privado,2020-10-07,Diabetes,3,9,63.2,1.51,21.6,97/72,71,16,37.5,A,+,Ninguna,0,Sí,1,2024-02-16,8,9,Frecuente,Sí,No,4,6,304,3932,4515,5
135,14852754,Valentine,Brady,Louis,38,"62469 Obrien Lane Apt. 153
Comptonborough, IA 29234",+51 978642041,vfrancis@example.com,31040,Masculino,Viudo,Universitario,Minerals surveyor,1969-10-09,Cook Islands,Rhode Island,New Scott,Hospital Central,Público,2024-10-11,Diabetes,3,7,94.5,1.88,24.3,108/74,75,19,37.0,A,-,Alimentos,3,No,3,2024-01-15,4,1,Ninguno,Sí,Sí,6,5,1840,2857,1998,5
136,16588978,Henderson,Elliott,Devin,43,"000 Lisa Coves
Millerburgh, MH 45860",+51 925521714,kyle69@example.org,16855,Femenino,Viudo,Universitario,Production manager,1970-01-16,Madagascar,Oklahoma,Scotttown,Clínica Salud,Público,2023-07-11,Diabetes,3,8,62.5,1.82,28.2,128/83,85,17,37.4,B,-,Ninguna,0,Sí,1,2024-05-08,10,2,Ninguno,No,Sí,5,9,1258,8393,1135,2
137,19138941,Smith,Wheeler,Rachael,35,"USS Ramirez
FPO AE 03411",+51 961700055,john97@example.net,20539,Masculino,Soltero,Secundaria,Occupational psychologist,2004-12-05,Bouvet Island (Bouvetoya),Iowa,Jonesbury,Hospital Central,Mixto,2020-08-11,Ninguno,2,9,62.8,1.6,23.6,109/81,65,18,37.3,A,+,Alimentos,1,Sí,4,2024-09-08,13,5,Ocasional,Sí,Sí,7,10,1399,6530,2070,2
138,95952008,Larson,Kelly,Michael,22,"40988 Kenneth Square
East Tanya, AL 97119",+51 987388337,victor33@example.org,31614,Femenino,Divorciado,Universitario,Claims inspector/assessor,1944-06-02,Palau,Nevada,Brownmouth,Clínica Salud,Público,2021-11-28,Ninguno,2,1,65.0,1.6,22.3,118/67,61,19,37.1,O,-,Medicamentos,0,No,6,2024-05-07,7,6,Ninguno,Sí,No,2,6,452,2989,515,2
139,67286901,Montes,Sullivan,William,31,"215 Daniel Vista Suite 196
Brownshire, SD 70069",+51 935511941,christopher17@example.org,36977,Masculino,Divorciado,Primaria,Higher education lecturer,1999-12-24,Ukraine,Nevada,Port Kimberlyton,Hospital Central,Privado,2021-10-05,Ninguno,3,9,78.5,1.64,33.4,125/73,73,14,37.5,AB,-,Polen,1,Sí,7,2024-02-13,6,10,Ocasional,Sí,Sí,5,5,1097,9199,4264,1
140,32674472,Lopez,King,Shannon,76,"7280 Cory Ranch Apt. 131
South Dianatown, DE 56584",+51 944188276,mallory95@example.org,42471,Femenino,Viudo,Técnico,Garment/textile technologist,1992-12-02,Tokelau,Hawaii,Melissafurt,Centro Médico Familiar,Público,2024-02-15,Diabetes,4,6,78.5,1.77,31.3,108/87,70,14,36.8,O,-,Medicamentos,3,No,5,2024-06-21,8,5,Ocasional,No,No,8,8,1753,9758,4553,2
141,58464750,Campbell,Scott,Lori,78,"3077 Hunter Coves Apt. 390
New Taylor, DC 54467",+51 915957459,rachelharrison@example.com,28888,Masculino,Soltero,Secundaria,Ergonomist,1996-07-26,Jordan,New Hampshire,New Ryan,Hospital Central,Público,2021-09-11,Cardiopatía,0,7,60.9,1.89,33.9,117/66,84,20,36.1,O,-,Polen,3,Sí,3,2024-06-19,6,2,Ninguno,No,No,1,9,1198,8623,707,2
142,73957089,Bates,Fox,Gary,54,"Unit 3685 Box 3772
DPO AE 93647",+51 968526649,hwhitaker@example.com,36244,Femenino,Casado,Primaria,Mining engineer,1945-07-21,South Georgia and the South Sandwich Islands,North Dakota,Port Dale,Hospital Central,Público,2024-06-15,Ninguno,1,3,53.9,1.84,31.7,94/88,85,19,37.3,AB,-,Ninguna,1,No,10,2024-08-06,5,3,Ninguno,Sí,No,8,8,1087,9368,2078,3
143,24249481,Moreno,Baker,Stacy,74,"62271 Lang Radial Apt. 756
East Charlesland, DE 70013",+51 910226999,patrick42@example.net,46051,Femenino,Soltero,Primaria,Toxicologist,1949-02-01,Cuba,Virginia,Kimberlymouth,Centro Médico Familiar,Público,2024-08-24,Hipertensión,5,8,66.2,1.64,20.4,120/90,78,19,36.8,O,+,Medicamentos,3,Sí,6,2024-03-10,9,7,Ocasional,No,No,10,7,1763,3000,4515,2
144,53668543,Perez,Mitchell,Karen,63,"16446 Rebecca Ville
Lake Tammy, MT 65909",+51 979782527,johnsonsara@example.com,12404,Femenino,Divorciado,Técnico,"Engineer, civil (consulting)",1980-04-10,Kiribati,South Carolina,Rachelberg,Clínica Salud,Mixto,2024-01-20,Hipertensión,4,2,74.1,1.58,36.3,133/71,69,19,36.2,AB,-,Medicamentos,0,No,1,2024-05-16,8,3,Ninguno,Sí,No,9,10,1252,8884,4624,4
145,34918555,Conway,Villanueva,Katherine,38,"7403 Gonzalez Spurs Suite 500
North Chadburgh, RI 38710",+51 982269803,kcarrillo@example.net,39807,Femenino,Viudo,Secundaria,Technical brewer,1964-02-29,Turkey,Rhode Island,New Brittany,Clínica Salud,Público,2024-11-08,Diabetes,0,9,74.4,1.56,25.0,101/60,67,14,38.7,AB,+,Medicamentos,2,Sí,2,2024-09-21,14,4,Ninguno,Sí,Sí,7,9,274,5559,784,4
146,42688434,Bryant,Webb,Kelly,31,"605 Tracy Garden Apt. 566
West Johnathanton, VT 55160",+51 936445607,tammyspencer@example.com,15771,Femenino,Viudo,Universitario,Race relations officer,1955-04-07,Congo,North Carolina,South Helenside,Centro Médico Familiar,Privado,2023-08-13,Cardiopatía,2,8,95.0,1.98,27.5,133/75,79,17,36.9,AB,+,Ninguna,1,Sí,7,2024-12-04,8,1,Ocasional,Sí,No,4,10,1564,2364,2878,5
147,27828031,Kelly,Hayden,Jacob,59,"129 James Fork
Laurastad, CT 35665",+51 958884978,galexander@example.com,30612,Masculino,Viudo,Secundaria,Tax adviser,1995-02-09,Liechtenstein,Michigan,Christophertown,Centro Médico Familiar,Público,2021-03-04,Ninguno,1,6,85.1,1.78,30.5,133/63,91,13,37.5,AB,+,Ninguna,2,Sí,5,2024-05-10,2,5,Ninguno,Sí,No,3,10,1796,6836,4401,5
148,51406091,Wilson,Howard,Elizabeth,49,"7546 Lynn Ferry
Kevinberg, PR 60621",+51 967887757,mcdanielhenry@example.org,26541,Femenino,Casado,Universitario,"Chemist, analytical",1962-09-25,Solomon Islands,Washington,South Heather,Centro Médico Familiar,Mixto,2024-09-14,Diabetes,4,1,91.0,1.55,22.6,115/74,87,18,37.6,B,+,Polen,2,No,10,2024-03-30,15,10,Ocasional,No,Sí,2,10,1322,2507,4503,1
149,23685578,Nelson,Bailey,Daniel,43,"0979 Morales Knoll Apt. 730
Hernandezstad, AK 44635",+51 919391725,nixonmarie@example.org,31186,Masculino,Casado,Técnico,Geochemist,1952-07-15,Romania,Vermont,Johnstonborough,Centro Médico Familiar,Mixto,2022-07-16,Cardiopatía,1,1,54.8,1.77,39.7,123/81,79,18,36.2,AB,-,Alimentos,3,Sí,1,2024-05-14,11,1,Ninguno,No,Sí,1,3,1692,6787,866,4
150,58814267,Lloyd,Murphy,Julie,74,"554 Travis Streets
New Lisa, GU 63035",+51 999152472,herreradonald@example.net,17597,Femenino,Divorciado,Técnico,Occupational psychologist,2006-02-11,Svalbard & Jan Mayen Islands,Montana,Charleston,Centro Médico Familiar,Mixto,2024-03-17,Hipertensión,2,4,82.1,1.77,39.5,133/62,98,15,36.8,O,+,Medicamentos,1,No,5,2024-05-20,11,7,Ocasional,Sí,Sí,7,8,1733,3890,2227,5
151,46310611,Miller,Rodriguez,Brian,76,"94340 Diana Road
Andrewside, MO 65596",+51 954318698,kennethfoster@example.net,36488,Masculino,Soltero,Primaria,Museum/gallery exhibitions officer,1953-07-04,Suriname,Wisconsin,Port Kristenland,Hospital Central,Privado,2022-02-16,Ninguno,5,7,51.9,1.64,31.8,97/64,68,18,36.7,O,-,Alimentos,0,No,6,2024-08-26,11,7,Frecuente,No,Sí,2,6,1359,7355,2239,1
152,95939378,Collins,Chavez,Andrew,59,"0494 Smith Path Apt. 031
Stevensfurt, WA 55014",+51 993638503,vmiller@example.net,43724,Femenino,Soltero,Primaria,Trade mark attorney,1964-02-23,Congo,Wyoming,New Jessica,Clínica Salud,Privado,2021-08-28,Diabetes,5,10,90.4,1.97,37.0,115/72,82,17,36.4,A,+,Medicamentos,1,No,2,2024-07-28,14,3,Frecuente,No,No,4,2,1236,4101,2820,5
153,61859002,Boyer,Nielsen,Rebecca,47,"197 Joseph Coves
Ortiztown, OH 22596",+51 952133044,craigjanet@example.com,10075,Femenino,Soltero,Primaria,Dramatherapist,1985-01-29,Norfolk Island,Minnesota,Aguilarfort,Centro Médico Familiar,Público,2023-09-14,Diabetes,0,2,69.1,1.9,39.7,134/78,66,20,37.1,AB,-,Alimentos,1,No,7,2024-09-11,5,4,Ninguno,No,Sí,4,8,337,9934,4596,4
154,80059294,Villegas,Banks,Stephanie,27,"4072 Jerry Freeway Suite 997
North Janet, GA 50581",+51 999038359,lynchgregory@example.org,45559,Masculino,Casado,Técnico,Advertising copywriter,1947-02-25,Saint Helena,Rhode Island,Port Kristenport,Clínica Salud,Privado,2021-01-31,Cardiopatía,5,6,89.0,1.79,29.4,96/83,83,12,37.6,AB,+,Polen,2,Sí,7,2024-07-27,1,5,Ocasional,Sí,No,10,6,514,5100,1215,2
155,16523153,Mcdonald,Gomez,John,34,"4119 Erica Ways Suite 263
Danielsfurt, AK 07788",+51 926726926,youngamber@example.com,40276,Femenino,Viudo,Universitario,Musician,1972-10-15,Iran,Minnesota,Perezfort,Centro Médico Familiar,Privado,2020-12-14,Diabetes,0,6,96.1,1.59,28.5,100/62,92,19,37.0,A,-,Ninguna,3,Sí,9,2024-04-16,12,4,Ninguno,No,Sí,5,9,1889,1298,1560,4
156,74389763,Smith,Waters,Julie,26,"377 Abigail Plains
East Kristopherland, MO 95690",+51 950308572,amymcdonald@example.com,37082,Masculino,Divorciado,Técnico,Building control surveyor,1951-10-16,Chile,Alabama,East Juliafort,Hospital Central,Público,2023-03-01,Diabetes,0,10,66.7,1.66,32.0,113/66,72,16,38.0,A,+,Alimentos,3,Sí,6,2024-08-14,4,7,Ocasional,Sí,No,4,9,973,2415,460,1
157,35828579,Simmons,Farmer,David,33,"5100 Brian Groves Apt. 654
Lopezshire, NH 04670",+51 978064830,christievasquez@example.com,13552,Masculino,Divorciado,Técnico,Garment/textile technologist,1958-08-27,Libyan Arab Jamahiriya,Alaska,Brittanyport,Hospital Central,Privado,2021-02-24,Ninguno,4,5,94.0,1.95,23.0,111/66,91,13,36.8,O,+,Ninguna,1,Sí,10,2024-01-07,6,5,Ocasional,No,No,10,10,876,2039,3603,4
158,59964884,Moss,Campbell,Frances,65,"745 Morris Junctions
Davidburgh, AZ 87745",+51 951511484,fernandezchristian@example.com,22293,Femenino,Casado,Primaria,Haematologist,1968-03-04,Guinea,Maryland,Jonathanmouth,Hospital Central,Público,2023-11-09,Hipertensión,5,3,71.7,1.77,19.6,128/87,88,14,38.2,O,+,Medicamentos,3,Sí,3,2024-05-03,13,7,Ocasional,Sí,Sí,5,2,1552,3658,4118,4
159,16410864,Hayes,Barnes,Kathryn,53,"9137 Bell Common
Christopherburgh, WA 67526",+51 999508850,ydavis@example.com,43976,Femenino,Casado,Secundaria,Camera operator,1945-11-06,Tuvalu,Montana,Vaughnstad,Hospital Central,Público,2021-03-29,Hipertensión,0,9,96.5,1.53,20.9,115/63,84,12,38.3,B,+,Medicamentos,1,No,0,2024-08-04,11,4,Ninguno,No,Sí,6,5,1662,3388,1781,1
160,26924878,Contreras,Camacho,Abigail,52,"97738 Jamie Island Apt. 289
Obrienburgh, WY 88739",+51 964813568,dennis87@example.net,33709,Masculino,Viudo,Primaria,Stage manager,1976-12-05,Estonia,Colorado,Berrymouth,Clínica Salud,Privado,2022-08-20,Cardiopatía,4,5,56.0,1.51,21.7,104/86,90,16,38.5,A,+,Alimentos,0,Sí,4,2024-03-27,9,9,Ninguno,Sí,Sí,8,5,1100,6604,1244,4
161,50169013,Jacobs,Finley,Ashley,34,"PSC 9394, Box 8343
APO AA 63104",+51 953779528,meyerandrew@example.com,42669,Femenino,Viudo,Secundaria,"Investment banker, operational",1996-05-31,British Indian Ocean Territory (Chagos Archipelago),Utah,Proctorstad,Hospital Central,Privado,2020-09-18,Hipertensión,4,4,88.5,1.95,36.6,117/83,77,20,36.6,A,+,Alimentos,2,No,4,2024-01-03,6,4,Ocasional,No,No,1,5,1698,3627,1906,2
162,71229043,Jackson,Smith,Kelsey,65,"89768 Rachel Mountain
Nealton, UT 85681",+51 964009265,ijuarez@example.org,38969,Femenino,Casado,Universitario,"Programmer, systems",1966-08-05,Cyprus,Idaho,Jeremyport,Clínica Salud,Público,2021-11-07,Cardiopatía,3,5,87.4,1.53,38.1,121/68,96,13,37.8,AB,+,Polen,3,Sí,8,2024-11-19,10,9,Frecuente,Sí,Sí,4,5,1679,9553,832,2
163,89960819,Turner,Lee,Nichole,55,"8329 Kristin Walk Apt. 850
Collinsshire, DE 23170",+51 949682169,bryanhernandez@example.net,13382,Femenino,Divorciado,Universitario,"Therapist, horticultural",1997-11-09,Mongolia,Minnesota,Lake Christinashire,Centro Médico Familiar,Privado,2020-12-23,Ninguno,4,8,92.5,1.69,29.2,138/82,98,20,36.4,B,-,Alimentos,1,No,3,2024-03-18,8,0,Ninguno,Sí,Sí,10,10,1500,9762,4343,3
164,36793783,Burnett,Bell,Nicholas,45,"015 Smith Underpass Suite 095
Port Marisaborough, NH 22300",+51 984411983,patricia32@example.org,23340,Masculino,Viudo,Universitario,Rural practice surveyor,1953-02-13,Seychelles,Hawaii,Curtismouth,Centro Médico Familiar,Público,2021-10-23,Cardiopatía,1,10,96.4,1.54,21.9,139/78,87,13,38.6,AB,+,Medicamentos,2,No,6,2024-07-11,2,2,Ninguno,Sí,Sí,5,9,747,4181,1310,5
165,72662288,Matthews,Ellis,Jessica,75,"7935 James Mews Suite 013
Angelaton, AR 92972",+51 927084279,kayla08@example.org,27501,Femenino,Viudo,Primaria,"Therapist, horticultural",1987-08-21,Barbados,Ohio,Aaronchester,Hospital Central,Privado,2024-07-30,Hipertensión,0,6,81.7,1.7,38.3,127/68,65,15,38.1,O,-,Medicamentos,0,Sí,0,2024-05-07,6,2,Ninguno,No,No,4,4,494,8842,3723,2
166,65047267,Carr,Pratt,Mark,55,"658 Long Dale
South Cheyenneview, MH 10256",+51 935748341,williambaker@example.com,45993,Masculino,Divorciado,Primaria,Systems developer,1973-02-13,Saint Vincent and the Grenadines,Missouri,Johnfort,Clínica Salud,Mixto,2021-08-26,Diabetes,4,6,81.6,1.85,19.7,138/85,87,20,37.6,O,+,Medicamentos,1,No,8,2024-08-08,8,8,Frecuente,Sí,No,9,6,491,6757,685,5
167,74058748,Rose,Henry,Amy,43,"0640 Sawyer Expressway Apt. 803
Davidfurt, NY 63901",+51 966431351,portiz@example.org,18586,Masculino,Viudo,Primaria,Clothing/textile technologist,1965-03-06,Congo,Florida,Mcbrideside,Centro Médico Familiar,Privado,2023-09-14,Ninguno,2,3,52.7,1.95,26.3,131/90,83,12,36.8,O,+,Ninguna,3,No,5,2024-06-27,6,4,Frecuente,No,No,1,6,1760,1488,3558,5
168,37977445,Smith,Freeman,Ricardo,41,"068 Sarah Shoals Apt. 606
Haileyton, AS 37053",+51 999245317,jennifer89@example.com,28876,Masculino,Divorciado,Técnico,"Programme researcher, broadcasting/film/video",2005-03-05,Switzerland,Oklahoma,Vaughnfurt,Centro Médico Familiar,Mixto,2022-10-17,Hipertensión,4,8,76.2,1.81,23.0,115/71,99,20,38.3,B,-,Alimentos,0,Sí,4,2024-09-06,14,0,Frecuente,Sí,No,5,4,602,6573,4578,2
169,87304445,Moore,Rivas,Cheryl,32,"2081 Williams Mission Apt. 870
Kingberg, MP 55741",+51 960888017,douglas00@example.net,38712,Masculino,Soltero,Primaria,Secondary school teacher,1990-07-15,Micronesia,Arizona,Tylerburgh,Centro Médico Familiar,Privado,2023-12-21,Ninguno,4,7,66.0,1.85,23.9,120/81,71,15,36.8,A,+,Alimentos,0,Sí,10,2024-12-02,8,3,Frecuente,Sí,Sí,1,10,390,7377,756,3
170,24767544,Fisher,Browning,Daniel,26,"74723 Christina Junctions Suite 780
New Janet, IN 18396",+51 933357554,smithalex@example.com,41766,Femenino,Viudo,Técnico,Emergency planning/management officer,1993-01-28,Barbados,Pennsylvania,Melendezton,Centro Médico Familiar,Público,2024-05-22,Cardiopatía,3,4,78.2,1.72,31.8,128/90,87,19,37.0,AB,+,Medicamentos,1,No,5,2024-07-19,1,5,Ninguno,Sí,Sí,4,4,1463,8084,2736,5
171,31056116,Patel,Hunt,Chelsea,50,"699 Ricky Knolls Apt. 626
New Melissaton, AL 55854",+51 992613013,vharmon@example.com,17957,Femenino,Viudo,Universitario,Psychiatric nurse,1995-01-11,Fiji,Minnesota,South Reginald,Hospital Central,Mixto,2022-06-17,Hipertensión,5,7,66.3,1.68,37.6,115/75,100,20,39.0,A,+,Ninguna,0,Sí,6,2024-09-04,3,9,Ninguno,Sí,No,3,6,986,2696,3875,3
172,52977444,Ramirez,Turner,Robert,49,"812 Wells Junctions Apt. 457
Lake Nicole, AZ 11439",+51 986384014,grahamlisa@example.net,11891,Masculino,Soltero,Primaria,Clinical research associate,1994-04-05,Eritrea,Idaho,North Katie,Hospital Central,Mixto,2021-07-04,Diabetes,1,6,84.9,1.67,28.2,122/68,87,12,38.8,AB,+,Ninguna,3,No,6,2024-11-12,5,5,Ninguno,No,No,6,5,764,9395,1448,2
173,34635065,Wilkins,Clayton,Jennifer,23,"PSC 5356, Box 4117
APO AE 57201",+51 950392808,amanda10@example.net,49903,Masculino,Divorciado,Técnico,"Pharmacist, community",1993-02-14,Namibia,Hawaii,North Melissa,Hospital Central,Público,2022-12-04,Diabetes,2,6,57.7,1.6,20.7,99/84,65,13,38.5,A,-,Polen,1,No,7,2024-05-15,15,4,Ninguno,Sí,Sí,4,4,1007,7593,2363,5
174,11831465,Smith,Wright,Courtney,66,"2233 Franklin Junction Apt. 312
Carlaland, NM 93678",+51 964502486,holdenchad@example.net,25682,Masculino,Viudo,Universitario,Charity fundraiser,2000-12-15,Bouvet Island (Bouvetoya),North Dakota,Rebeccaborough,Centro Médico Familiar,Mixto,2024-04-12,Diabetes,3,7,83.7,1.88,19.6,119/63,62,20,38.3,AB,-,Ninguna,2,Sí,6,2024-09-23,4,4,Ocasional,Sí,No,8,6,651,4479,2866,2
175,94842762,Smith,Kim,Brianna,21,"77404 Wells Overpass Apt. 199
New Michealshire, ID 70281",+51 983542887,noahdavis@example.com,20379,Masculino,Soltero,Universitario,Arboriculturist,1955-07-19,Seychelles,Maine,New Markville,Hospital Central,Privado,2021-04-14,Diabetes,1,5,99.9,1.9,30.1,97/68,92,14,36.0,O,-,Polen,0,No,6,2024-03-31,14,2,Frecuente,Sí,Sí,7,9,285,3744,345,5
176,38366093,Hopkins,Higgins,Crystal,73,"9982 Ashley Port Apt. 985
Port Shannonberg, IN 96540",+51 910054484,evanlane@example.com,30365,Femenino,Divorciado,Primaria,Architectural technologist,1989-05-15,Croatia,Delaware,Hawkinsfurt,Centro Médico Familiar,Público,2021-06-15,Ninguno,4,8,98.6,1.54,21.9,121/75,81,12,38.0,B,+,Ninguna,3,No,4,2024-01-30,10,9,Frecuente,No,No,6,7,290,4115,371,1
177,14773352,Cole,Miller,Garrett,25,"2459 Hall Gateway
Jamesburgh, MN 30041",+51 950785405,aaron71@example.net,46099,Masculino,Viudo,Secundaria,Financial planner,1958-05-15,Thailand,Maryland,Port Samuel,Hospital Central,Mixto,2022-10-15,Hipertensión,5,3,87.6,1.96,19.1,104/80,89,16,39.0,O,+,Medicamentos,3,Sí,0,2024-03-09,11,10,Ocasional,Sí,No,8,5,820,8920,194,3
178,86726948,Foster,Walker,Christina,27,"29798 Alexis Skyway
Snyderhaven, DE 33736",+51 948508907,michaelnunez@example.com,10896,Masculino,Casado,Secundaria,Child psychotherapist,1952-03-16,Togo,Rhode Island,North Patriciahaven,Hospital Central,Privado,2020-11-03,Diabetes,2,10,78.8,1.88,29.6,98/60,74,15,38.9,O,-,Alimentos,2,Sí,4,2024-01-25,12,4,Frecuente,Sí,No,7,5,224,2096,323,1
