Orden,DNI,Apellido_Paterno,Apellido_Materno,Nombres,Edad,Direccion,Celular,Correo,Ingreso_Anual,Genero,Estado_Civil,Nivel_Educativo,Ocupacion,Fecha_Nacimiento,Nacionalidad,Provincia,Distrito,Centro_Medico,Tipo_Seguro,Fecha_Registro,Historial_Medico,Medicamentos_Recetados,Citas_Anuales,Peso,Altura,IMC,Presion_Arterial,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Temperatura,Grupo_Sanguineo,Factor_RH,Alergias,Cirugias,Vacunas_Al_Dia,Pruebas_Laboratorio,Ultima_Visita,Dias_Hospitalizacion,Horas_Ejercicio_Semanal,Consumo_Alcohol,Tabaquismo,Dieta_Saludable,Nivel_Estres,Nivel_Satisfaccion,Costo_Citas_Anuales,Costo_Tratamiento,Costo_Medicamentos,Satisfaccion_Servicio
58,46347136,Sexton,Cherry,Jason,40,"07731 Jessica Viaduct Suite 646
Port Kevin, CO 95294",+51 963551839,jhess@example.net,46759,Femenino,Casado,Universitario,"Geologist, engineering",1980-12-13,Uruguay,Kentucky,Lake Brianville,Clínica Salud,Público,2022-08-29,Cardiopatía,2,2,86.2,1.65,25.1,98/66,64,17,36.3,B,+,Medicamentos,0,No,9,2024-04-04,13,9,Frecuente,No,No,2,6,688,6340,3747,1
59,14250022,Wagner,Pratt,Alan,56,"6650 Jensen Mountain Apt. 086
Loganberg, IL 80114",+51 997225156,charles64@example.net,10633,Femenino,Casado,Secundaria,Magazine journalist,1961-11-11,Mayotte,Maine,West Lonnie,Centro Médico Familiar,Mixto,2021-09-08,Ninguno,1,7,96.8,1.85,26.2,114/90,61,18,38.1,AB,+,Medicamentos,1,No,4,2024-09-11,12,1,Frecuente,No,No,10,1,1201,7865,3851,3
60,27127290,Silva,Gonzales,Jeffrey,34,"5000 Anderson Mount
Coxmouth, CA 72506",+51 960119651,sherriadams@example.net,17331,Femenino,Viudo,Secundaria,"Pilot, airline",1972-02-24,Suriname,Maryland,North Angelafort,Centro Médico Familiar,Público,2023-12-17,Ninguno,0,9,95.7,1.9,24.3,125/76,97,13,37.9,AB,+,Alimentos,0,No,2,2024-01-04,7,0,Frecuente,No,Sí,7,5,996,4256,2591,3
61,15223932,Woods,Friedman,Adam,69,"PSC 2669, Box 9446
APO AP 08255",+51 968800797,chaseconner@example.net,14931,Femenino,Soltero,Universitario,"Accountant, chartered certified",1975-07-29,Portugal,Nevada,Aaronland,Centro Médico Familiar,Mixto,2023-08-07,Hipertensión,0,8,58.8,1.96,21.3,131/75,64,20,38.7,O,-,Polen,3,Sí,8,2024-03-12,5,3,Ninguno,Sí,Sí,6,2,329,6336,4746,4
62,90092973,Mitchell,Torres,Sherri,20,"9769 Edwin Land
Markside, PW 83949",+51 979467853,timothylevine@example.net,19768,Masculino,Casado,Técnico,"Development worker, international aid",1979-10-29,Spain,Minnesota,Jesuschester,Centro Médico Familiar,Mixto,2023-02-08,Hipertensión,5,4,94.1,1.78,22.5,116/81,60,17,37.3,O,-,Polen,0,Sí,4,2024-10-23,12,10,Ninguno,Sí,No,8,1,1823,4769,1180,3
63,43987528,Dixon,Carlson,Randy,64,"700 Glover Land Suite 894
Khanburgh, ID 03491",+51 970597444,wyattaaron@example.com,45755,Femenino,Casado,Universitario,Medical illustrator,1977-11-15,Palau,Nebraska,Joshuabury,Centro Médico Familiar,Público,2023-09-10,Hipertensión,1,4,58.8,1.98,28.2,121/73,76,15,36.8,A,+,Alimentos,2,Sí,3,2024-02-21,12,7,Ninguno,Sí,Sí,1,3,1307,2804,2610,1
64,20273946,Cuevas,Watkins,Alexander,47,"0519 Harris Islands Apt. 408
South Regina, RI 28613",+51 926240908,lisaburke@example.com,12361,Masculino,Casado,Técnico,"Psychologist, counselling",1991-01-17,Senegal,Rhode Island,Sampsontown,Clínica Salud,Público,2024-07-21,Cardiopatía,3,10,96.0,1.78,30.4,135/86,73,19,36.7,A,-,Medicamentos,0,Sí,4,2024-07-14,7,1,Ocasional,Sí,No,2,8,1517,6343,1506,3
65,77230410,Anderson,Daniels,Brianna,52,"23006 Michael Haven
North Roberthaven, PA 32860",+51 943273328,rmurphy@example.com,34196,Femenino,Soltero,Primaria,Quantity surveyor,1986-12-09,Montserrat,North Carolina,Sotoport,Clínica Salud,Privado,2024-11-22,Diabetes,4,6,99.9,1.57,27.3,118/75,62,16,36.2,B,+,Medicamentos,2,Sí,7,2024-10-26,8,7,Ocasional,Sí,No,4,7,830,4731,2229,3
66,53947142,Keith,Owens,Shawn,25,"506 Norman Crescent Apt. 755
Elaineview, IL 67747",+51 940158366,steven58@example.org,48175,Femenino,Casado,Universitario,"Editor, commissioning",1985-06-17,Yemen,Colorado,West Amychester,Centro Médico Familiar,Público,2022-07-15,Ninguno,3,1,69.8,1.62,19.1,100/62,63,19,36.8,AB,-,Polen,0,No,9,2024-08-27,2,10,Ocasional,No,No,3,8,1223,2606,1957,5
67,59408832,Holmes,Casey,Corey,80,"PSC 7717, Box 3968
APO AA 45379",+51 918593410,johnsonscott@example.org,46210,Femenino,Soltero,Técnico,Clinical molecular geneticist,2002-06-13,Turkmenistan,Indiana,Thomaschester,Centro Médico Familiar,Privado,2022-05-04,Cardiopatía,4,1,74.8,1.6,26.1,126/60,85,16,36.3,O,+,Polen,1,Sí,5,2024-04-27,13,0,Frecuente,Sí,No,10,5,1293,4884,4066,1
68,55526084,Sparks,Farmer,Zachary,77,"5830 Clay Expressway
Watsonville, OH 46020",+51 955377076,theresa72@example.net,19705,Masculino,Divorciado,Secundaria,Armed forces technical officer,2001-04-14,Palestinian Territory,Utah,North Dustinport,Clínica Salud,Público,2022-06-13,Diabetes,0,5,96.8,1.82,20.5,140/84,92,13,36.0,O,+,Polen,3,No,5,2024-08-09,7,5,Frecuente,No,Sí,1,8,1908,7759,3146,5
69,50483239,Johnson,Allison,Tina,42,"1804 Cynthia Overpass
Herreratown, TN 53012",+51 912823170,ktrujillo@example.com,38166,Femenino,Divorciado,Primaria,Primary school teacher,1990-04-29,Gibraltar,Tennessee,New Benjaminchester,Clínica Salud,Privado,2020-02-28,Diabetes,2,8,98.1,1.96,31.4,104/69,78,13,37.2,B,-,Medicamentos,2,No,2,2024-03-16,8,8,Ninguno,No,No,3,9,1862,4276,2460,2
70,83168546,Lawson,Rodriguez,Sarah,23,"313 Goodman Cliffs Apt. 677
Angelatown, AR 05656",+51 988961459,alvarezsamuel@example.com,18352,Femenino,Divorciado,Universitario,"Scientist, research (life sciences)",1944-12-18,Panama,South Dakota,Lisaberg,Centro Médico Familiar,Mixto,2020-05-20,Cardiopatía,2,10,96.3,1.92,25.5,92/68,100,14,38.2,O,+,Medicamentos,2,No,7,2024-01-04,9,6,Ninguno,Sí,No,3,4,1120,7152,487,2
71,44101667,White,Carroll,Antonio,53,"404 Aaron Streets Apt. 758
New Jessicastad, NE 91516",+51 984346088,cannonmelissa@example.net,12741,Femenino,Viudo,Técnico,Technical brewer,1964-09-02,Puerto Rico,Wyoming,Juliehaven,Centro Médico Familiar,Público,2022-11-13,Diabetes,5,8,93.8,1.55,26.8,104/77,92,16,38.9,AB,+,Polen,1,Sí,6,2024-02-29,8,5,Frecuente,Sí,Sí,8,7,233,4615,1315,1
72,59758178,Conrad,Vincent,Vincent,36,"PSC 0556, Box 0297
APO AA 21026",+51 940885476,james26@example.net,30202,Masculino,Soltero,Técnico,"Surveyor, land/geomatics",1975-01-04,Mauritania,Illinois,South Darrell,Clínica Salud,Mixto,2023-08-29,Hipertensión,3,5,50.5,1.86,24.8,108/65,86,12,38.7,AB,-,Polen,1,Sí,3,2024-11-26,13,0,Ocasional,Sí,Sí,9,7,275,2204,2992,5
73,19580352,Johnson,Aguilar,Jack,71,"113 Julie Orchard Suite 269
Walkerside, MN 61939",+51 988979095,fglover@example.org,33897,Femenino,Casado,Universitario,"Producer, radio",2004-12-02,Brunei Darussalam,Ohio,Elliottton,Hospital Central,Público,2023-08-18,Cardiopatía,1,9,78.4,1.6,26.8,139/74,87,15,37.5,B,+,Medicamentos,0,No,6,2024-04-20,6,9,Ocasional,Sí,No,5,8,894,8716,2429,2
74,56419189,Miller,Cole,Eric,58,"Unit 1956 Box 1718
DPO AE 67859",+51 939557077,hcross@example.com,12614,Masculino,Viudo,Técnico,"Surveyor, land/geomatics",1947-11-02,Bolivia,Illinois,Michelletown,Centro Médico Familiar,Privado,2024-01-18,Ninguno,4,1,55.4,1.63,20.3,126/83,85,17,37.1,AB,+,Ninguna,2,No,5,2024-09-09,2,4,Ocasional,Sí,No,7,5,314,8936,3834,5
75,77423967,Osborne,Jones,Tiffany,57,"31905 Monica Summit
East Brenda, CA 78174",+51 910965138,olin@example.org,33449,Masculino,Viudo,Universitario,"Nurse, learning disability",2003-08-30,Guinea-Bissau,Rhode Island,Martinville,Hospital Central,Público,2023-12-10,Hipertensión,2,2,99.1,1.84,37.9,139/84,65,14,37.6,A,-,Medicamentos,0,No,5,2024-05-11,5,8,Ocasional,No,Sí,10,3,891,1890,1462,3
76,78353236,Rice,Sutton,Nathaniel,74,"95157 Jeanette Cape Suite 109
Taylorfurt, AZ 67477",+51 919528530,joseph25@example.net,23767,Femenino,Divorciado,Técnico,"Scientist, audiological",1965-06-04,Senegal,Texas,New Davidstad,Centro Médico Familiar,Privado,2022-01-20,Ninguno,5,7,64.2,1.8,38.0,121/77,100,13,36.3,AB,+,Alimentos,1,No,6,2024-10-17,4,0,Ninguno,No,Sí,10,9,1813,8141,1417,3
77,43688476,Fields,Baldwin,James,73,"697 Melissa Valleys
Martinview, TX 10686",+51 994705205,mcdanieldale@example.org,26353,Masculino,Soltero,Secundaria,IT technical support officer,1984-08-27,Bhutan,Mississippi,Wilsonview,Centro Médico Familiar,Privado,2021-06-26,Diabetes,3,3,99.5,1.94,39.5,122/63,94,15,37.4,A,-,Alimentos,2,No,4,2024-08-21,9,1,Ocasional,No,No,8,7,1676,3374,4485,3
78,59432144,White,Sherman,Joseph,41,"200 Diane Locks Apt. 729
New Nicholasside, FL 87069",+51 917901903,mark87@example.com,16736,Masculino,Casado,Universitario,"Designer, blown glass/stained glass",1991-05-11,Tajikistan,North Carolina,Joshuastad,Centro Médico Familiar,Público,2022-08-07,Hipertensión,1,5,77.2,1.59,30.8,126/63,94,17,38.6,O,-,Medicamentos,3,No,7,2024-01-25,3,4,Ocasional,No,Sí,4,1,287,4541,2436,3
79,56114134,Swanson,Brown,Lindsey,54,"4559 Kimberly Station
North Larryfort, ID 52183",+51 940728046,yrobles@example.com,33178,Femenino,Viudo,Universitario,Publishing rights manager,1954-06-07,Solomon Islands,Colorado,Scottmouth,Centro Médico Familiar,Mixto,2023-04-29,Ninguno,0,6,74.7,1.88,22.1,107/84,99,18,38.0,A,-,Alimentos,3,No,2,2024-08-27,14,1,Frecuente,Sí,No,4,5,1030,8454,1593,3
80,62864243,Prince,Combs,Shannon,30,"33862 Myers Highway
Andersonfurt, VT 07687",+51 919046318,ryan98@example.com,46692,Masculino,Casado,Primaria,"Production assistant, radio",1966-05-26,Australia,South Carolina,Lake Kerry,Hospital Central,Público,2020-12-30,Cardiopatía,1,7,96.9,1.86,26.7,124/86,69,20,38.1,B,+,Ninguna,2,Sí,9,2024-05-22,14,3,Frecuente,No,No,6,8,442,3917,1536,1
81,72382730,Camacho,Russell,Michael,63,"601 Watson Squares Suite 382
Cruzstad, NM 70506",+51 914216175,fernando20@example.com,36632,Femenino,Divorciado,Secundaria,Water engineer,1945-11-05,Japan,Oregon,Bartlettview,Clínica Salud,Mixto,2020-11-28,Diabetes,0,6,92.6,1.78,21.5,113/77,77,12,36.5,B,+,Ninguna,2,No,2,2024-04-19,8,8,Ninguno,No,Sí,5,7,633,7346,1357,5
82,31373135,Howell,Peters,Debbie,22,"636 Welch Trail Suite 694
Port Christophermouth, TN 13177",+51 954349361,amber58@example.net,20128,Masculino,Soltero,Universitario,Haematologist,1991-01-13,El Salvador,Maine,Tracifort,Clínica Salud,Privado,2022-01-16,Ninguno,3,1,73.4,1.74,25.0,138/61,65,16,36.2,B,-,Ninguna,1,No,9,2024-02-06,15,1,Ocasional,Sí,No,10,6,1852,7119,1420,5
83,39875640,Brooks,Warren,James,20,"3484 Larson Route Suite 156
New Michelle, TX 46373",+51 919510312,fharper@example.com,25514,Masculino,Casado,Técnico,"Psychologist, sport and exercise",1947-08-24,Greenland,North Dakota,Simonstad,Hospital Central,Público,2021-02-17,Diabetes,1,7,59.6,1.93,29.1,138/83,79,16,38.5,B,+,Alimentos,2,Sí,10,2024-01-21,6,1,Ninguno,No,Sí,5,9,1539,3234,2048,3
84,23614026,Cooley,Rogers,Timothy,60,"295 Elizabeth Mall
New Brett, MP 58656",+51 979008866,kristopher32@example.com,20649,Femenino,Casado,Técnico,Risk analyst,1975-04-11,Malawi,Maine,Catherineside,Clínica Salud,Público,2021-12-27,Ninguno,5,1,55.6,1.67,19.9,118/77,65,14,36.9,B,-,Polen,2,No,3,2024-10-04,10,3,Ocasional,No,Sí,7,1,1566,8499,1057,2
85,89130427,Walker,Valentine,Kara,32,"2555 Smith Courts
Rodriguezberg, AL 38892",+51 941944441,amandarogers@example.com,21603,Femenino,Viudo,Técnico,"Surveyor, hydrographic",1962-01-26,Belarus,Minnesota,West Robertbury,Clínica Salud,Mixto,2020-10-17,Cardiopatía,3,10,58.1,1.98,27.8,103/73,92,12,37.0,AB,-,Ninguna,3,No,1,2024-08-31,0,8,Frecuente,No,No,6,2,1271,4181,437,1
86,95295568,Massey,Baker,Lauren,67,"2562 Taylor Haven Apt. 778
New Bruceberg, NY 97439",+51 947376585,robertcannon@example.com,37020,Femenino,Casado,Primaria,"Librarian, academic",2005-04-10,Afghanistan,Massachusetts,New Michelleland,Clínica Salud,Público,2023-10-08,Hipertensión,0,9,72.9,1.51,27.6,96/83,73,18,38.9,O,+,Ninguna,1,No,4,2024-12-01,4,6,Ocasional,Sí,No,2,9,1138,6875,2693,2
87,33245771,Barnes,Merritt,Candice,36,"517 Theresa Radial Suite 411
West Molly, MI 05393",+51 999788677,dale41@example.net,11624,Masculino,Soltero,Universitario,Horticultural consultant,1961-07-06,Qatar,Wisconsin,Sarahchester,Clínica Salud,Privado,2023-03-28,Ninguno,5,4,62.9,1.97,28.9,131/84,69,19,36.2,A,+,Polen,0,No,3,2024-08-28,1,3,Frecuente,Sí,Sí,10,6,1588,5418,4806,5
88,37361587,Evans,Roy,Eric,23,"0197 James Parks Apt. 983
South Ronald, DC 76858",+51 975151231,josephreed@example.net,21754,Femenino,Soltero,Técnico,Media planner,1987-12-26,Costa Rica,Louisiana,Michaelburgh,Clínica Salud,Público,2022-06-02,Diabetes,2,6,59.3,1.98,20.2,105/69,94,20,36.5,A,+,Medicamentos,2,No,8,2024-06-05,0,3,Ninguno,No,No,1,7,1982,4313,1136,3
89,31909916,Pollard,Frazier,Michael,72,"447 Regina Turnpike
South Brian, VI 44940",+51 938754377,rgoodman@example.org,31770,Femenino,Casado,Primaria,Amenity horticulturist,1995-02-18,Mongolia,Arizona,West Crystal,Centro Médico Familiar,Privado,2022-05-01,Cardiopatía,5,9,86.8,1.56,23.9,92/74,80,20,37.1,O,+,Polen,1,No,6,2024-04-07,5,8,Ocasional,No,No,10,10,1990,6503,3711,3
90,57839987,Haynes,Smith,Nicholas,32,"4236 Turner Trafficway
Johnsonport, AZ 53093",+51 982374753,nwatson@example.net,36982,Femenino,Viudo,Primaria,Metallurgist,2005-05-17,Cambodia,Montana,Millerhaven,Hospital Central,Privado,2020-12-18,Hipertensión,2,5,89.5,2.0,23.8,106/71,85,15,38.2,B,+,Medicamentos,1,Sí,6,2024-07-28,3,10,Ninguno,Sí,Sí,9,5,1298,3084,2233,4
91,21873833,Hurley,Riley,Beth,73,"41164 Jim Extensions Apt. 530
East Stephaniechester, WI 68946",+51 927758595,deborahjones@example.net,26263,Femenino,Viudo,Universitario,Operations geologist,1985-10-11,Uzbekistan,Kansas,Thomashaven,Clínica Salud,Mixto,2021-11-27,Diabetes,5,2,78.4,1.74,31.9,95/74,97,13,37.6,B,-,Medicamentos,3,Sí,3,2024-10-04,9,3,Ninguno,Sí,No,7,6,505,1525,3128,4
92,59217777,Young,Roberts,Jennifer,24,"134 Tiffany Hills Suite 324
East Joannechester, IN 13446",+51 986644106,omcbride@example.org,27485,Femenino,Divorciado,Técnico,Company secretary,2002-01-06,Qatar,Illinois,North Philip,Clínica Salud,Mixto,2022-07-07,Cardiopatía,0,7,87.9,1.62,31.3,97/84,100,19,38.7,A,+,Polen,2,Sí,2,2024-03-06,8,9,Ninguno,No,Sí,3,5,1717,1977,1611,3
93,65081789,Webb,Lewis,Tonya,42,"USCGC Obrien
FPO AE 74074",+51 987337818,deborah69@example.org,20433,Femenino,Soltero,Secundaria,"Psychotherapist, child",1954-11-05,Armenia,Oklahoma,Farleyhaven,Clínica Salud,Privado,2022-02-01,Diabetes,4,9,58.8,1.8,22.7,105/66,64,13,36.3,B,+,Ninguna,2,No,2,2024-04-30,4,10,Frecuente,Sí,No,5,5,1386,5597,1780,2
94,66231727,Tate,Phillips,Alexander,35,"USNS Beard
FPO AA 88456",+51 973440831,lsalas@example.com,17084,Femenino,Divorciado,Técnico,Transport planner,1989-06-01,Vanuatu,Pennsylvania,Lake Molly,Centro Médico Familiar,Mixto,2020-04-18,Cardiopatía,4,8,92.8,1.6,20.8,137/78,79,14,37.8,AB,+,Medicamentos,1,Sí,7,2024-05-27,14,2,Ocasional,No,No,1,2,677,3236,4707,1
95,82060853,Jennings,Sherman,Frederick,47,"812 Jerry Station
Port Jasonside, SD 96138",+51 942614537,comptonedward@example.net,35070,Masculino,Viudo,Secundaria,Advertising art director,1964-07-17,Slovakia (Slovak Republic),Pennsylvania,Collinsstad,Clínica Salud,Mixto,2024-06-21,Hipertensión,2,9,94.9,1.96,25.1,134/71,87,13,37.8,AB,+,Polen,2,Sí,0,2024-12-03,0,8,Ninguno,Sí,No,6,5,347,2820,384,2
96,90788309,Grant,Hawkins,Kelli,58,"PSC 7113, Box 2306
APO AE 96825",+51 973481353,rebeccafrench@example.com,12537,Femenino,Divorciado,Secundaria,Artist,1987-12-09,Trinidad and Tobago,California,Simonfort,Clínica Salud,Privado,2021-09-17,Hipertensión,2,5,91.3,1.78,38.9,135/79,75,12,37.4,AB,-,Ninguna,3,Sí,2,2024-09-19,7,8,Frecuente,Sí,Sí,9,10,275,8627,2696,2
97,19093842,Baldwin,Coffey,Danielle,71,"12726 Benjamin Dale
South Sheryl, ID 41739",+51 964634663,wzuniga@example.org,40847,Masculino,Viudo,Técnico,Accommodation manager,1962-07-12,Gibraltar,Kentucky,Jimmytown,Hospital Central,Público,2022-11-03,Diabetes,1,10,75.8,1.89,25.6,130/73,63,12,36.1,O,+,Medicamentos,3,No,6,2024-10-02,2,6,Ninguno,No,No,1,7,1706,8513,2916,5
98,64723901,Wilson,Cunningham,Kristin,41,"326 Elizabeth Land
Coleton, TN 07501",+51 935556386,travis77@example.org,24577,Masculino,Divorciado,Secundaria,Commercial/residential surveyor,2004-04-02,Mali,Vermont,Brownstad,Centro Médico Familiar,Público,2023-08-15,Cardiopatía,5,10,54.3,1.69,31.8,100/79,75,15,38.8,O,-,Alimentos,3,No,7,2024-05-21,4,1,Ninguno,No,Sí,1,8,489,7852,1311,2
99,79022542,Pacheco,Brooks,Michael,28,"083 Bell Neck Suite 480
Staceybury, AL 11966",+51 922660194,ymorgan@example.net,23079,Femenino,Divorciado,Primaria,Health visitor,1955-11-14,Cyprus,Oklahoma,Soliston,Clínica Salud,Mixto,2021-07-09,Ninguno,5,2,83.5,1.77,35.8,98/85,65,14,36.5,AB,-,Ninguna,2,Sí,2,2024-04-17,0,10,Frecuente,No,Sí,9,4,1201,3804,3154,2
100,16648927,Baldwin,Case,Miguel,41,"07689 Ross Port Suite 301
Karenview, NE 18050",+51 923009833,qmartin@example.net,40166,Masculino,Soltero,Primaria,"Designer, multimedia",1967-04-08,Ecuador,Hawaii,Jamestown,Hospital Central,Mixto,2023-07-23,Hipertensión,5,3,59.2,1.68,25.6,103/86,87,15,38.7,O,-,Polen,2,Sí,10,2024-08-15,15,9,Ninguno,No,No,6,10,1539,6629,3773,5
101,76146248,Yang,Harrison,Rebecca,40,"975 Lowery Port Suite 872
South Alexandriaside, OH 22391",+51 998447167,martin20@example.net,32915,Masculino,Soltero,Técnico,Armed forces logistics/support/administrative officer,2004-03-30,Malaysia,Delaware,Martinland,Hospital Central,Privado,2024-03-25,Ninguno,5,2,57.0,1.63,25.7,103/85,67,18,36.5,AB,-,Alimentos,3,No,8,2024-02-04,6,5,Ninguno,No,Sí,2,4,239,4602,4522,5
102,29344911,Campbell,Young,Richard,31,"7125 Katherine Plaza Apt. 767
North Sheila, AK 22010",+51 967854710,powerschristina@example.net,30000,Masculino,Divorciado,Universitario,Textile designer,2005-04-17,Barbados,Indiana,Olsonmouth,Hospital Central,Privado,2021-09-20,Ninguno,1,7,66.2,1.76,36.0,93/78,89,17,36.3,B,+,Polen,0,Sí,8,2024-09-25,10,10,Frecuente,No,Sí,5,9,1165,5835,1431,5
103,98524276,Patrick,Kelley,Heidi,60,"4246 Yoder River Suite 754
Gonzalezmouth, WY 31306",+51 957553014,amy99@example.com,24915,Masculino,Viudo,Primaria,Electrical engineer,1990-10-25,Anguilla,Indiana,Rodriguezfort,Hospital Central,Privado,2023-10-04,Diabetes,2,6,62.4,1.75,37.0,112/77,99,13,36.6,O,+,Medicamentos,1,Sí,5,2024-01-16,13,7,Ninguno,Sí,Sí,1,6,1466,3568,4471,5
104,71817285,Becker,Mcclain,Steven,35,"485 Savage Branch
Jeffreyburgh, OH 74684",+51 966851760,tramirez@example.com,24609,Masculino,Viudo,Técnico,Fitness centre manager,1973-05-20,Equatorial Guinea,Maine,Gregoryport,Clínica Salud,Privado,2022-07-20,Diabetes,4,6,63.0,1.55,39.4,107/79,98,16,36.6,AB,+,Ninguna,0,Sí,7,2024-01-12,9,10,Ocasional,No,No,4,3,293,3784,2570,5
105,74302648,Smith,Clark,Justin,62,"28465 Gonzales Village
West Jessicahaven, WA 66925",+51 965177213,tanyasanchez@example.org,11550,Masculino,Soltero,Secundaria,Chief Operating Officer,1970-05-04,Turkmenistan,South Dakota,Lake Lauraville,Hospital Central,Público,2021-10-31,Diabetes,1,9,61.8,1.99,21.4,124/65,63,13,38.1,O,+,Alimentos,2,No,4,2024-01-06,15,6,Ninguno,No,Sí,7,6,697,4763,1095,1
106,52546404,Pennington,Russell,Andrea,77,"510 Day Heights Suite 991
Susanborough, MH 27673",+51 972682989,phillipsbethany@example.org,22656,Masculino,Soltero,Primaria,Medical secretary,1951-06-15,Madagascar,New Hampshire,West Christineberg,Centro Médico Familiar,Privado,2022-04-15,Cardiopatía,0,6,87.7,1.73,25.4,110/82,79,12,38.2,A,-,Alimentos,1,No,4,2024-06-07,11,1,Ocasional,Sí,No,10,9,1636,2416,304,4
107,88137890,Hernandez,Leblanc,Destiny,61,"5105 Melissa Vista
New Lori, NM 40820",+51 917270733,christopherjennings@example.org,36113,Masculino,Casado,Técnico,Commercial art gallery manager,1987-08-01,Afghanistan,Vermont,Lake Kelly,Centro Médico Familiar,Privado,2022-04-01,Hipertensión,1,3,97.7,1.92,38.9,108/69,71,13,38.2,A,-,Alimentos,1,Sí,8,2024-06-16,14,2,Frecuente,Sí,Sí,7,1,1528,7745,3414,4
108,27742053,Moss,Bray,Joshua,59,"6292 Baxter Ville
Ashleyton, AR 43951",+51 997705310,bcook@example.org,31512,Masculino,Soltero,Técnico,Television/film/video producer,2001-01-10,Lithuania,Maryland,North Brittany,Clínica Salud,Mixto,2020-12-18,Hipertensión,1,4,65.1,1.96,22.8,126/68,67,15,36.8,AB,-,Medicamentos,2,Sí,9,2024-04-10,1,2,Ninguno,No,Sí,6,1,467,9548,4191,1
109,19254528,Todd,Larson,Mary,22,"857 Debbie Land Apt. 536
Hernandezmouth, NC 81070",+51 996728778,melaniecortez@example.net,28258,Masculino,Viudo,Universitario,Analytical chemist,1995-02-07,Croatia,Washington,New Alexanderland,Hospital Central,Privado,2023-10-31,Ninguno,1,10,86.1,1.69,25.3,122/88,60,19,36.8,AB,-,Ninguna,0,No,0,2024-09-23,10,8,Ocasional,No,No,7,2,229,9015,1290,1
110,71886392,Johnson,Porter,Richard,56,"628 Fernandez Lane
Hoodport, PW 98633",+51 923209423,emilycase@example.org,14549,Femenino,Soltero,Secundaria,Investment analyst,1957-10-01,Jersey,Kansas,West Belindaview,Centro Médico Familiar,Mixto,2022-02-06,Diabetes,3,9,50.6,1.71,39.2,133/86,68,14,36.7,AB,+,Ninguna,0,Sí,6,2024-04-02,2,6,Ocasional,Sí,No,7,1,552,4546,3852,2
111,13389407,Lyons,Perez,Melinda,58,"8135 Cindy Groves Suite 193
South Danielport, IL 52859",+51 918135295,mtorres@example.org,28292,Masculino,Casado,Secundaria,"Development worker, community",1963-08-23,Algeria,Montana,Port Cindyfort,Hospital Central,Privado,2022-01-21,Cardiopatía,0,7,82.7,1.78,39.3,96/64,60,13,36.1,A,+,Medicamentos,0,No,1,2024-02-18,4,8,Ocasional,Sí,No,7,7,1495,8757,2723,1
112,11124212,Hamilton,Smith,James,28,"9400 Henry Center Suite 756
Terryville, WY 13805",+51 964038913,joshua44@example.org,33012,Masculino,Divorciado,Secundaria,"Designer, interior/spatial",1954-11-27,Georgia,Oklahoma,Port Michaelton,Centro Médico Familiar,Privado,2020-09-07,Hipertensión,2,9,84.6,1.61,24.8,138/85,70,17,37.7,O,+,Polen,0,Sí,2,2024-08-26,1,5,Ninguno,Sí,No,7,2,302,8581,1378,4
113,48610378,Miller,Anthony,Stephanie,52,"5536 Brewer Row
South Sarahstad, WA 84189",+51 955540424,beth76@example.org,43384,Femenino,Divorciado,Técnico,Secondary school teacher,1954-08-18,Falkland Islands (Malvinas),Mississippi,East Michaelland,Centro Médico Familiar,Mixto,2022-05-21,Cardiopatía,4,1,53.1,1.57,33.4,116/89,91,13,38.5,A,+,Alimentos,3,Sí,0,2024-02-17,8,10,Ocasional,Sí,Sí,9,9,829,5573,135,3
114,88444995,Johnson,Beltran,Jessica,64,"56340 Stacy Neck
East Kristinaborough, TN 37041",+51 924665841,corymeyers@example.org,36193,Femenino,Viudo,Técnico,Make,1980-01-02,Niue,New Mexico,North Timothymouth,Centro Médico Familiar,Público,2020-11-11,Diabetes,4,1,55.9,1.63,29.1,93/68,82,12,36.5,AB,+,Polen,1,No,3,2024-08-30,12,2,Ninguno,No,Sí,4,2,1880,1237,4574,3
115,68936918,Vang,Martinez,Nicholas,33,"120 Krystal Dam Apt. 429
Beckland, MA 09995",+51 943374088,cynthiacummings@example.com,45141,Femenino,Casado,Secundaria,Advice worker,1954-08-08,Oman,New Mexico,Nicoleport,Clínica Salud,Público,2021-04-18,Diabetes,2,1,65.3,1.97,30.9,131/64,93,19,37.1,AB,+,Medicamentos,0,No,4,2024-02-29,2,8,Frecuente,No,Sí,3,8,1825,8014,4256,3
116,51155262,Hickman,Williams,David,28,"135 Natasha Crossing Apt. 491
Jenniferburgh, NJ 45559",+51 935714784,davischarles@example.org,31702,Masculino,Divorciado,Técnico,Environmental consultant,1980-07-17,Antarctica (the territory South of 60 deg S),Utah,South Pamelamouth,Centro Médico Familiar,Mixto,2022-08-23,Hipertensión,3,3,70.3,1.79,23.7,134/87,93,12,37.3,AB,-,Polen,2,No,7,2024-02-21,15,9,Frecuente,No,Sí,8,6,399,5041,2813,2
